"Status","Name","Duration in ms","Description"
"passed","script.test_login.Test_Login#test_username_error","1289",""
"passed","script.test_login.Test_Login#test_username_error","1168",""
"passed","script.test_login.Test_Login#test_username_error","1014",""
"passed","script.test_login.Test_Login#test_username_error","1392",""
"passed","script.test_login.Test_Login#test_username_error","1081",""
"failed","script.test_login.Test_Login#test_username_error","3340",""
"passed","script.test_login.Test_Login#test_username_error","1089",""
"passed","script.test_login.Test_Login#test_username_error","1330",""
"passed","script.test_login.Test_Login#test_username_error","1032",""
"failed","script.test_login.Test_Login#test_username_error","1223",""
"passed","script.test_login.Test_Login#test_username_error","1452",""
"passed","script.test_login.Test_Login#test_username_error","1384",""
"passed","script.test_login.Test_Login#test_username_error","1110",""
"passed","script.test_login.Test_Login#test_username_error","1350",""
"passed","script.test_login.Test_Login#test_username_error","1062",""
"passed","script.test_login.Test_Login#test_username_error","1396",""
"passed","script.test_login.Test_Login#test_username_error","1308",""
